timestamp	pid	elapsed_seconds	state	cpu_percent	memory_percent	rss_kib	vsz_kib	thread_count	command
2026-09-13T20:13:40+09:00	15357	1	SN+	8.6	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:41+09:00	15357	2	SN+	5.2	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:42+09:00	15357	3	SN+	3.6	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:43+09:00	15357	4	SN+	2.7	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:44+09:00	15357	5	SN+	2.4	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:45+09:00	15357	6	SN+	2.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:46+09:00	15357	7	SN+	1.7	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:47+09:00	15357	8	SN+	1.6	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:48+09:00	15357	9	SN+	1.4	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:49+09:00	15357	10	SN+	1.3	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:50+09:00	15357	11	SN+	1.3	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:51+09:00	15357	12	SN+	1.2	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:52+09:00	15357	13	SN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:53+09:00	15357	14	RN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:54+09:00	15357	15	SN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:55+09:00	15357	16	SN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:56+09:00	15357	17	SN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:57+09:00	15357	18	SN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:13:59+09:00	15357	19	SN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:00+09:00	15357	20	RN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:01+09:00	15357	21	SN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:02+09:00	15357	22	SN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:03+09:00	15357	23	SN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:04+09:00	15357	25	SN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:05+09:00	15357	26	SN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:06+09:00	15357	27	RN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:07+09:00	15357	28	SN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:08+09:00	15357	29	SN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:09+09:00	15357	30	SN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:10+09:00	15357	31	SN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:11+09:00	15357	32	SN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:12+09:00	15357	33	SN+	1.0	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:13+09:00	15357	34	SN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:14+09:00	15357	35	SN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:15+09:00	15357	36	SN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:16+09:00	15357	37	SN+	1.2	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:17+09:00	15357	38	SN+	1.2	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:18+09:00	15357	39	SN+	1.1	0.4	17792	23080	1	agent-leak-app
2026-09-13T20:14:19+09:00	15357		PROCESS_EXITED						
