timestamp	pid	elapsed_seconds	state	cpu_percent	memory_percent	rss_kib	vsz_kib	thread_count	command
2026-09-13T19:51:02+09:00	14468	1	SN+	7.7	0.4	18048	23080	1	agent-leak-app
2026-09-13T19:51:03+09:00	14468	2	SN+	5.1	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:04+09:00	14468	3	SN+	3.6	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:05+09:00	14468	4	SN+	2.7	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:06+09:00	14468	5	SN+	2.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:07+09:00	14468	6	SN+	2.0	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:08+09:00	14468	7	SN+	1.7	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:10+09:00	14468	8	SN+	1.7	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:11+09:00	14468	9	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:12+09:00	14468	10	SN+	1.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:13+09:00	14468	11	SN+	1.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:14+09:00	14468	12	SN+	1.3	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:15+09:00	14468	13	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:16+09:00	14468	15	SN+	1.3	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:17+09:00	14468	16	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:18+09:00	14468	17	SN+	1.1	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:19+09:00	14468	18	SN+	1.3	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:20+09:00	14468	19	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:21+09:00	14468	20	SN+	1.1	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:22+09:00	14468	21	SN+	1.3	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:23+09:00	14468	22	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:24+09:00	14468	23	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:25+09:00	14468	24	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:26+09:00	14468	25	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:27+09:00	14468	26	SN+	1.1	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:28+09:00	14468	27	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:29+09:00	14468	28	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:30+09:00	14468	29	SN+	1.1	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:31+09:00	14468	30	SN+	1.3	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:33+09:00	14468	31	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:34+09:00	14468	32	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:35+09:00	14468	33	SN+	1.3	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:36+09:00	14468	34	SN+	1.3	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:37+09:00	14468	35	SN+	1.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:51:38+09:00	14468		PROCESS_EXITED						
