timestamp	pid	elapsed_seconds	state	cpu_percent	memory_percent	rss_kib	vsz_kib	thread_count	command
2026-09-13T19:42:53+09:00	13949	1	SN+	20.1	0.4	18048	23080	1	agent-leak-app
2026-09-13T19:42:54+09:00	13949	2	SN+	11.3	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:42:55+09:00	13949	3	SN+	7.8	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:42:56+09:00	13949	4	SN+	5.9	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:42:57+09:00	13949	5	SN+	5.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:42:58+09:00	13949	6	SN+	4.3	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:42:59+09:00	13949	7	SN+	3.7	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:00+09:00	13949	8	SN+	3.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:01+09:00	13949	9	SN+	3.0	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:03+09:00	13949	10	SN+	2.7	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:04+09:00	13949	11	SN+	2.6	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:05+09:00	13949	13	SN+	2.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:06+09:00	13949	14	SN+	2.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:07+09:00	13949	15	SN+	2.2	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:08+09:00	13949	16	SN+	2.0	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:09+09:00	13949	17	SN+	1.9	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:10+09:00	13949	18	SN+	2.0	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:11+09:00	13949	19	SN+	1.9	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:12+09:00	13949	20	SN+	1.8	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:13+09:00	13949	21	SN+	1.8	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:14+09:00	13949	22	SN+	1.7	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:15+09:00	13949	23	SN+	1.6	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:16+09:00	13949	24	SN+	1.7	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:17+09:00	13949	25	SN+	1.6	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:18+09:00	13949	26	SN+	1.6	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:19+09:00	13949	27	SN+	1.6	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:21+09:00	13949	28	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:22+09:00	13949	29	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:23+09:00	13949	31	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:24+09:00	13949	32	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:25+09:00	13949	33	SN+	1.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:26+09:00	13949	34	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:27+09:00	13949	35	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:28+09:00	13949	36	SN+	1.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:29+09:00	13949	37	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:30+09:00	13949	38	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:31+09:00	13949	39	SN+	1.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:32+09:00	13949	40	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:33+09:00	13949	41	SN+	1.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:34+09:00	13949	42	SN+	1.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:35+09:00	13949	43	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:37+09:00	13949	44	SN+	1.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:38+09:00	13949	45	RN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:39+09:00	13949	47	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:40+09:00	13949	48	SN+	1.4	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:41+09:00	13949	49	SN+	1.5	0.4	18048	24104	1	agent-leak-app
2026-09-13T19:43:42+09:00	13949		PROCESS_EXITED						
