timestamp	pid	elapsed_seconds	state	cpu_percent	memory_percent	rss_kib	vsz_kib	thread_count	command
2026-09-13T19:32:02+09:00	13213	2	S+	41.0	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:03+09:00	13213	3	S+	29.2	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:04+09:00	13213	5	S+	22.9	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:05+09:00	13213	6	S+	18.8	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:06+09:00	13213	7	S+	16.0	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:07+09:00	13213	8	S+	13.9	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:08+09:00	13213	9	S+	12.3	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:09+09:00	13213	10	S+	11.1	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:10+09:00	13213	11	S+	10.0	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:11+09:00	13213	12	S+	9.1	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:12+09:00	13213	13	S+	8.3	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:14+09:00	13213	14	S+	7.7	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:15+09:00	13213	15	S+	7.2	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:16+09:00	13213	16	S+	6.7	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:17+09:00	13213	18	S+	6.3	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:18+09:00	13213	19	S+	6.0	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:19+09:00	13213	20	S+	5.7	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:20+09:00	13213	21	S+	5.4	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:21+09:00	13213	22	S+	5.1	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:22+09:00	13213	23	S+	4.9	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:23+09:00	13213	24	S+	4.7	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:24+09:00	13213	25	S+	4.5	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:25+09:00	13213	26	S+	4.3	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:26+09:00	13213	27	S+	4.1	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:27+09:00	13213	28	S+	4.0	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:28+09:00	13213	29	S+	3.8	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:29+09:00	13213	30	S+	3.7	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:31+09:00	13213	31	S+	3.6	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:32+09:00	13213	32	S+	3.4	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:33+09:00	13213	33	S+	3.3	0.0	2048	2900	1	agent-leak-app
2026-09-13T19:32:34+09:00	13213	35	S+	3.2	0.0	2048	2900	1	agent-leak-app
